卫视,#genre#
天元围棋,http://183.51.190.224:6633/udp/239.253.43.98:5146
金鹰卡通,http://183.30.201.129:10002/udp/239.77.0.164:5146
CETV-1,http://183.30.201.129:10002/udp/239.77.1.222:5146
CETV-4,http://183.30.201.129:10002/udp/239.253.43.40:5146
早期教育,http://183.30.201.129:10002/udp/239.77.0.180:5146
中国交通,http://183.30.201.129:10002/udp/239.77.1.249:5146
茶,http://183.30.201.129:10002/udp/239.77.0.15:5146
快乐垂钓,http://183.30.201.129:10002/udp/239.77.0.145:5146
金鹰纪实,http://183.30.201.129:10002/udp/239.77.1.217:5146
金鹰纪实,http://183.30.201.129:10002/udp/239.77.0.160:5146
求索纪录,http://183.30.201.129:10002/udp/239.77.0.21:5146
求索生活,http://183.30.201.129:10002/udp/239.77.0.153:5146
武术世界,http://183.30.201.129:10002/udp/239.77.1.108:5146
文物宝库,http://183.30.201.129:10002/udp/239.77.1.120:5146
先锋乒羽,http://183.30.201.129:10002/udp/239.77.1.208:5146
天元围棋,http://183.30.201.129:10002/udp/239.253.43.98:5146
📡 BXTV,#genre#
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
翡翠台,http://bxtv.3a.ink/api.php?id=fct
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
POPC,http://bxtv.3a.ink/api.php?id=popc
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw
CCTV1,http://bxtv.3a.ink/api.php?id=cctv1
CCTV2,http://bxtv.3a.ink/api.php?id=cctv2
CCTV3,http://bxtv.3a.ink/api.php?id=cctv3
📡 风云试看央卫频道,#genre#
